"id_doc";"Date";"pol";"url_vw"
"EPdoc-14-19_1243";"2015-07-09";"Environment & public health";"http://www.votewatch.eu/en/term8-resource-efficiency-moving-towards-a-circular-economy-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_1250";"2015-07-09";"Environment & public health";"http://www.votewatch.eu/en/term8-maximum-permitted-levels-of-radioactive-contamination-following-a-nuclear-accident-draft-legislative-7.html"
"EPdoc-14-19_1256";"2015-07-09";"Economic & monetary affairs";"http://www.votewatch.eu/en/term8-building-a-capital-markets-union-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_1283";"2015-07-09";"Foreign & security policy";"http://www.votewatch.eu/en/term8-european-agenda-on-security-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_1289";"2015-07-09";"Foreign & security policy";"http://www.votewatch.eu/en/term8-security-challenges-in-the-middle-east-and-north-africa-and-prospects-for-political-stability-motion-6.html"
"EPdoc-14-19_1298";"2015-07-09";"Foreign & security policy";"http://www.votewatch.eu/en/term8-review-of-the-european-neighbourhood-policy-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_1303";"2015-07-09";"Legal affairs";"http://www.votewatch.eu/en/term8-harmonisation-of-certain-aspects-of-copyright-and-related-rights-motion-for-resolution-vote-resoluti.html"
"EPdoc-14-19_1305";"2015-07-09";"Foreign & security policy";"http://www.votewatch.eu/en/term8-evaluation-of-activities-of-the-european-endowment-for-democracy-eed-motion-for-resolution-vote-afet.html"
"EPdoc-14-19_1306";"2015-07-09";"Foreign & security policy";"http://www.votewatch.eu/en/term8-cambodia-s-draft-laws-on-ngos-and-trade-unions-joint-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_1307";"2015-07-09";"Foreign & security policy";"http://www.votewatch.eu/en/term8-the-democratic-republic-of-congo-drc-in-particular-the-case-of-two-detained-human-rights-activists-y.html"
"EPdoc-14-19_1308";"2015-07-09";"Foreign & security policy";"http://www.votewatch.eu/en/term8-bahrain-in-particular-the-case-of-nabeel-rajab-joint-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_1309";"2015-07-09";"Foreign & security policy";"http://www.votewatch.eu/en/term8-situation-of-two-christian-pastors-in-sudan-joint-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_1116";"2015-07-08";"International trade";"http://www.votewatch.eu/en/term8-negotiations-for-the-transatlantic-trade-and-investment-partnership-ttip-motion-for-resolution-vote-.html"
"EPdoc-14-19_1117";"2015-07-08";"Foreign & security policy";"http://www.votewatch.eu/en/term8-stabilisation-and-association-agreement-with-the-former-yugoslav-republic-of-macedonia-protocol-to-t.html"
"EPdoc-14-19_1118";"2015-07-08";"Foreign & security policy";"http://www.votewatch.eu/en/term8-stabilisation-and-association-agreement-with-serbia-protocol-to-take-account-of-the-accession-of-cro.html"
"EPdoc-14-19_1119";"2015-07-08";"Industry, research & energy";"http://www.votewatch.eu/en/term8-scientific-and-technological-cooperation-with-india-renewal-of-the-agreement-draft-legislative-resol.html"
"EPdoc-14-19_1120";"2015-07-08";"Industry, research & energy";"http://www.votewatch.eu/en/term8-scientific-and-technological-cooperation-with-the-faroe-islands-horizon-2020-draft-legislative-resol.html"
"EPdoc-14-19_1146";"2015-07-08";"Legal affairs";"http://www.votewatch.eu/en/term8-long-term-shareholder-engagement-and-corporate-governance-statement-draft-legislative-resolution-vot.html"
"EPdoc-14-19_1147";"2015-07-08";"Environment & public health";"http://www.votewatch.eu/en/term8-market-stability-reserve-for-the-union-greenhouse-gas-emission-trading-scheme-draft-legislative-reso.html"
"EPdoc-14-19_1149";"2015-07-08";"Employment & social affairs";"http://www.votewatch.eu/en/term8-seafarers-draft-legislative-resolution-vote-legislative-resolution-ordinary-legislative-procedure-fi.html"
"EPdoc-14-19_1150";"2015-07-08";"Industry, research & energy";"http://www.votewatch.eu/en/term8-scientific-and-technological-cooperation-with-switzerland-horizon-2020-and-iter-activities-draft-leg.html"
"EPdoc-14-19_1162";"2015-07-08";"Employment & social affairs";"http://www.votewatch.eu/en/term8-guidelines-for-the-employment-policies-of-the-member-states-draft-legislative-resolution-vote-legisl.html"
"EPdoc-14-19_1163";"2015-07-08";"Budget";"http://www.votewatch.eu/en/term8-mobilisation-of-the-european-globalisation-adjustment-fund-application-egf-2015-001-fi-broadcom-moti.html"
"EPdoc-14-19_1185";"2015-07-08";"Budget";"http://www.votewatch.eu/en/term8-2016-budget-mandate-for-the-trilogue-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_1199";"2015-07-08";"Employment & social affairs";"http://www.votewatch.eu/en/term8-green-employment-initiative-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_1200";"2015-07-08";"Development";"http://www.votewatch.eu/en/term8-tax-avoidance-and-tax-evasion-as-challenges-in-developing-countries-motion-for-resolution-vote-resol.html"
"EPdoc-14-19_1024";"2015-07-07";"Legal affairs";"http://www.votewatch.eu/en/term8-exercise-of-the-union-s-rights-under-international-trade-rules-draft-legislative-resolution-single-v.html"
"EPdoc-14-19_1025";"2015-07-07";"Legal affairs";"http://www.votewatch.eu/en/term8-protection-against-injurious-pricing-of-vessels-draft-legislative-resolution-single-vote-ordinary-le.html"
"EPdoc-14-19_1026";"2015-07-07";"Fisheries";"http://www.votewatch.eu/en/term8-fishing-opportunities-in-eu-waters-for-fishing-vessels-flying-the-flag-of-venezuela-off-the-coast-of.html"
"EPdoc-14-19_1027";"2015-07-07";"Budget";"http://www.votewatch.eu/en/term8-draft-amending-budget-no-3-2015-surplus-from-2014-motion-for-resolution-single-vote.html"
"EPdoc-14-19_1028";"2015-07-07";"Budget";"http://www.votewatch.eu/en/term8-draft-amending-budget-no-4-2015-mobilisation-of-the-eu-solidarity-fund-for-romania-bulgaria-and-ital.html"
"EPdoc-14-19_1029";"2015-07-07";"Budget";"http://www.votewatch.eu/en/term8-mobilisation-of-the-eu-solidarity-fund-floods-in-romania-bulgaria-and-italy-motion-for-resolution-si.html"
"EPdoc-14-19_1030";"2015-07-07";"Transport & tourism";"http://www.votewatch.eu/en/term8-delivering-multimodal-integrated-ticketing-in-europe-motion-for-resolution-single-vote.html"
"EPdoc-14-19_1031";"2015-07-07";"Budget";"http://www.votewatch.eu/en/term8-draft-amending-budget-no-1-2015-european-fund-for-strategic-investments-efsi-motion-for-resolution-v.html"
"EPdoc-14-19_1032";"2015-07-07";"Budget";"http://www.votewatch.eu/en/term8-draft-amending-budget-no-5-2015-responding-to-migratory-pressures-motion-for-resolution-vote-resolut.html"
"EPdoc-14-19_1036";"2015-07-07";"Agriculture";"http://www.votewatch.eu/en/term8-review-of-the-implementation-of-the-dairy-package-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_1037";"2015-07-07";"International trade";"http://www.votewatch.eu/en/term8-external-impact-of-eu-trade-and-investment-policy-outside-the-eu-motion-for-resolution-vote-inta-com.html"
"EPdoc-14-19_1038";"2015-07-07";"Agriculture";"http://www.votewatch.eu/en/term8-the-fruit-and-vegetables-sector-since-the-2007-reform-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_989";"2015-06-24";"Economic & monetary affairs";"http://www.votewatch.eu/en/term8-european-fund-for-strategic-investments-draft-legislative-resolution-vote-legislative-resolution-ord.html"
"EPdoc-14-19_990";"2015-06-24";"Budget";"http://www.votewatch.eu/en/term8-mobilisation-of-the-european-globalisation-adjustment-fund-application-egf-2015-000-ta-2015-technica.html"
"EPdoc-14-19_541";"2015-03-25";"Economic & monetary affairs";"http://www.votewatch.eu/en/term8-annual-tax-report-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_1023";"2015-06-24";"Economic & monetary affairs";"http://www.votewatch.eu/en/term8-review-of-the-economic-governance-framework-stocktaking-and-challenges-motion-for-resolution-vote-ec.html"
"EPdoc-14-19_969";"2015-06-11";"Foreign & security policy";"http://www.votewatch.eu/en/term8-paraguay-the-legal-aspects-related-to-the-child-pregnancy-motion-by-epp-ecr-joint-motion-for-resolut.html"
"EPdoc-14-19_971";"2015-06-11";"Foreign & security policy";"http://www.votewatch.eu/en/term8-situation-in-nepal-after-the-earthquakes-joint-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_986";"2015-06-11";"Foreign & security policy";"http://www.votewatch.eu/en/term8-strategic-military-situation-in-the-black-sea-basin-following-the-illegal-annexation-of-crimea-by-ru-15.html"
"EPdoc-14-19_928";"2015-06-10";"Internal regulations of the EP";"http://www.votewatch.eu/en/term8-postponement-of-the-debate-on-ttip-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_943";"2015-06-10";"Foreign & security policy";"http://www.votewatch.eu/en/term8-state-of-eu-russia-relations-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_959";"2015-06-10";"Industry, research & energy";"http://www.votewatch.eu/en/term8-european-energy-security-strategy-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_960";"2015-06-10";"Constitutional and inter-institutional affairs";"http://www.votewatch.eu/en/term8-olaf-supervisory-committee-s-annual-report-2014-joint-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_968";"2015-06-10";"Foreign & security policy";"http://www.votewatch.eu/en/term8-2014-progress-report-on-turkey-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_933";"2015-06-10";"Civil liberties, justice & home affairs";"http://www.votewatch.eu/en/term8-accession-of-croatia-to-the-convention-on-the-fight-against-corruption-involving-ec-officials-or-off.html"
"EPdoc-14-19_931";"2015-06-10";"Environment & public health";"http://www.votewatch.eu/en/term8-eu-iceland-agreement-on-iceland-participation-in-the-second-commitment-period-of-the-kyoto-protocol-.html"
"EPdoc-14-19_932";"2015-06-10";"Civil liberties, justice & home affairs";"http://www.votewatch.eu/en/term8-accession-of-croatia-to-the-convention-on-mutual-assistance-in-criminal-matters-draft-legislative-re.html"
"EPdoc-14-19_929";"2015-06-10";"Environment & public health";"http://www.votewatch.eu/en/term8-conclusion-of-the-doha-amendment-to-the-kyoto-protocol-draft-legislative-resolution-approbation-cons.html"
"EPdoc-14-19_913";"2015-06-09";"Agriculture";"http://www.votewatch.eu/en/term8-adjustment-rate-for-direct-payments-in-respect-of-2015-draft-legislative-resolution-single-vote-ordi.html"
"EPdoc-14-19_925";"2015-06-09";"Gender equality";"http://www.votewatch.eu/en/term8-eu-strategy-for-equality-between-women-and-men-post-2015-motion-for-resolution-vote-femm-committee-r.html"
"EPdoc-14-19_926";"2015-06-09";"International trade";"http://www.votewatch.eu/en/term8-intellectual-property-rights-in-third-countries-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_927";"2015-06-09";"Legal affairs";"http://www.votewatch.eu/en/term8-intellectual-property-rights-an-eu-action-plan-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_912";"2015-05-27";"Environment & public health";"http://www.votewatch.eu/en/term8-decision-on-the-opening-of-and-mandate-for-interinstitutional-negotiations-on-aid-scheme-for-the-sup-4.html"
"EPdoc-14-19_878";"2015-05-21";"Foreign & security policy";"http://www.votewatch.eu/en/term8-swaziland-the-case-of-human-rights-activists-thulani-maseko-and-bheki-makhubu-joint-motion-for-resol-3.html"
"EPdoc-14-19_895";"2015-05-21";"Foreign & security policy";"http://www.votewatch.eu/en/term8-implementation-of-the-common-security-and-defence-policy-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_904";"2015-05-21";"Foreign & security policy";"http://www.votewatch.eu/en/term8-financing-the-common-security-and-defence-policy-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_908";"2015-05-21";"Foreign & security policy";"http://www.votewatch.eu/en/term8-security-and-defence-capabilities-in-europe-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_827";"2015-05-20";"Development";"http://www.votewatch.eu/en/term8-trade-development-and-cooperation-agreement-with-south-africa-protocol-to-take-account-of-the-access.html"
"EPdoc-14-19_856";"2015-05-20";"International trade";"http://www.votewatch.eu/en/term8-self-certification-of-importers-of-minerals-and-metals-originating-in-conflict-affected-and-high-ris-29.html"
"EPdoc-14-19_857";"2015-05-20";"Industry, research & energy";"http://www.votewatch.eu/en/term8-cadmium-in-illumination-and-display-lighting-applications-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_859";"2015-05-20";"Employment & social affairs";"http://www.votewatch.eu/en/term8-maternity-leave-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_861";"2015-05-20";"Environment & public health";"http://www.votewatch.eu/en/term8-outbreak-of-xylella-fastidiosa-affecting-olive-trees-motion-by-efdd-gue-ngl-motion-for-resolution-vo.html"
"EPdoc-14-19_875";"2015-05-20";"Environment & public health";"http://www.votewatch.eu/en/term8-outbreak-of-xylella-fastidiosa-affecting-olive-trees-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_823";"2015-05-19";"Environment & public health";"http://www.votewatch.eu/en/term8-safer-healthcare-in-europe-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_826";"2015-05-19";"Industry, research & energy";"http://www.votewatch.eu/en/term8-green-growth-opportunities-for-smes-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_810";"2015-05-19";"Legal affairs";"http://www.votewatch.eu/en/term8-safeguard-measures-provided-for-in-the-agreement-with-the-swiss-confederation-draft-legislative-reso.html"
"EPdoc-14-19_811";"2015-05-19";"Legal affairs";"http://www.votewatch.eu/en/term8-european-convention-on-the-legal-protection-of-services-based-on-or-consisting-of-conditional-access.html"
"EPdoc-14-19_821";"2015-05-19";"Development";"http://www.votewatch.eu/en/term8-financing-for-development-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_805";"2015-04-30";"Economic & monetary affairs";"http://www.votewatch.eu/en/term8-european-investment-bank-annual-report-2013-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_808";"2015-04-30";"Culture & education";"http://www.votewatch.eu/en/term8-motions-for-resolutions-expo-milano-2015-feeding-the-planet-energy-for-life-motion-for-resolution-vo.html"
"EPdoc-14-19_809";"2015-04-30";"Foreign & security policy";"http://www.votewatch.eu/en/term8-situation-in-nigeria-joint-motion-for-resolution-vote-resolution.html"
"EPdoc-14-19_790";"2015-04-30";"Foreign & security policy";"http://www.votewatch.eu/en/term8-persecution-of-the-christians-around-the-world-in-relation-to-the-killing-of-students-in-kenya-by-te-16.html"
"EPdoc-14-19_791";"2015-04-30";"Foreign & security policy";"http://www.votewatch.eu/en/term8-motions-for-resolutions-destruction-of-cultural-sites-perpetrated-by-isis-da-esh-joint-motion-for-re.html"
"EPdoc-14-19_776";"2015-04-30";"Foreign & security policy";"http://www.votewatch.eu/en/term8-persecution-of-the-christians-around-the-world-in-relation-to-the-killing-of-students-in-kenya-by-te-2.html"
"EPdoc-14-19_569";"2015-04-29";"Employment & social affairs";"http://www.votewatch.eu/en/term8-pre-financing-of-operational-programmes-supported-by-the-youth-employment-initiative-draft-legislati.html"
"EPdoc-14-19_570";"2015-04-29";"International trade";"http://www.votewatch.eu/en/term8-repeal-of-council-regulation-eec-no-3030-93-on-common-rules-for-imports-of-certain-textile-products-.html"
"EPdoc-14-19_571";"2015-04-29";"Legal affairs";"http://www.votewatch.eu/en/term8-safeguard-measures-provided-for-in-the-agreement-with-norway-draft-legislative-resolution-single-vot.html"
"EPdoc-14-19_572";"2015-04-29";"Legal affairs";"http://www.votewatch.eu/en/term8-stabilisation-and-association-agreement-with-albania-draft-legislative-resolution-single-vote-ordina.html"
"EPdoc-14-19_573";"2015-04-29";"Legal affairs";"http://www.votewatch.eu/en/term8-stabilisation-and-association-agreement-and-interim-agreement-on-trade-and-trade-related-matters-wit.html"
"EPdoc-14-19_574";"2015-04-29";"Legal affairs";"http://www.votewatch.eu/en/term8-stabilisation-and-association-agreement-with-the-former-yugoslav-republic-of-macedonia-draft-legisla.html"
"EPdoc-14-19_575";"2015-04-29";"Legal affairs";"http://www.votewatch.eu/en/term8-application-of-articles-107-and-108-tfeu-to-certain-categories-of-horizontal-state-aid-draft-legisla.html"
"EPdoc-14-19_576";"2015-04-29";"Legal affairs";"http://www.votewatch.eu/en/term8-rules-for-the-application-of-article-108-tfeu-draft-legislative-resolution-single-vote-consultation.html"
"EPdoc-14-19_577";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-european-commission-and-executive-agencies-proposal-for-a-decision-.html"
"EPdoc-14-19_593";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-court-of-auditors-special-reports-in-the-context-of-the-2013-commission-discharge-motion-for-resolut.html"
"EPdoc-14-19_594";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-8th-9th-and-10th-edfs-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_596";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-european-parliament-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_613";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-european-council-and-council-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_615";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-european-external-action-service-proposal-for-a-decision-vote-decis.html"
"EPdoc-14-19_618";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-court-of-justice-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_620";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-court-of-auditors-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_622";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-economic-and-social-committee-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_624";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-committee-of-the-regions-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_626";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-european-ombudsman-proposal-for-a-decision-vote-decision.html"
"EPdoc-14-19_628";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-discharge-2013-eu-general-budget-european-data-protection-supervisor-proposal-for-a-decision-vote-de.html"
"EPdoc-14-19_631";"2015-04-29";"Budgetary control";"http://www.votewatch.eu/en/term8-2013-discharge-performance-financial-management-and-control-of-eu-agencies-motion-for-resolution-vot.html"
